Region,City,Master Group,Master Category,Cost Price [INR],Net Number,Bill Number,Gross Sales Value (GSV) [INR],Net Sales Value [INR],Gross Profit [INR],Gross Profit Margin [%],Net Receivables [INR],Transaction Number,Sale Type,Sale Date,Customer ID,Group,Sub Category,Gender,Theme,Net Weight,Gross Weight,Quantity,Diamond Weight (CWT),Serial Number
East,HYDERABAD,Antique,Bracelets,1658984.43,402,BB10000,2054152.49,1984947.02,69205.47,3.37,11166,NS001-302876564-154,Store,09-03-2025,C10000,Bangles,classic,Male,PCJ-PLAIN,28.22,29.94,2,1.59,A389754
West,BANGALORE,Plain,Bangles,2030437.91,198,BB10001,2247748.5,2145618.14,102130.36,4.54,10558,NS001-479578321-835,Online,31-03-2025,C10001,Bracelets,classic,Female,IND-GOLD,32.9,33.62,1,1.59,A495708
North,MUMBAI,Antique,Bangles,1023930.25,334,BB10002,1258523.2,1195896.66,62626.54,4.98,15864,NS001-877604415-112,Store,09-03-2025,C10002,Chains,classic,Female,TRADITIONAL,28.35,29.98,2,2.11,A843669
Central,HYDERABAD,Plain,Chains,1412830.71,147,BB10003,1739681.87,1668616.13,71065.74,4.08,17960,NS001-215662102-824,Store,10-04-2025,C10003,Chains,bold,Female,PCJ-PLAIN,40.61,41.57,2,0.84,A204015
North,DELHI,CZ,Chains,1371965.19,258,BB10004,1644189.51,1562422.55,81766.96,4.97,10002,NS001-159470191-857,Online,27-03-2025,C10004,Rings,bold,Male,PCJ-PLAIN,36.97,38.02,2,1.91,A124972
West,MUMBAI,KDM,Bracelets,1829856.33,463,BB10005,2340487.85,2279729.47,60758.38,2.6,18718,NS001-698810941-900,Store,27-04-2025,C10005,Bangles,abc,Male,PCJ-PLAIN,31.5,32.55,2,1.21,A418654
South,BANGALORE,KDM,Chains,2446743.89,499,BB10006,3064093.59,3027881.8,36211.79,1.18,18010,NS001-747187085-475,Store,30-04-2025,C10006,Rings,abc,Female,IND-GOLD,37.16,38.11,3,2.28,A370720
East,BANGALORE,Antique,Rings,1666147.58,288,BB10007,1956663.67,1935691.2,20972.47,1.07,12353,NS001-654201441-574,Store,25-04-2025,C10007,Rings,abc,Male,MODERN,19.51,21.09,1,0.39,A126205
East,BANGALORE,Antique,Rings,1914273.81,199,BB10008,2330296.79,2243001.68,87295.11,3.75,10527,NS001-249162394-969,Store,07-04-2025,C10008,Bangles,xyz,Female,IND-GOLD,25.44,27.1,1,2.02,A712780
South,DELHI,CZ,Chains,1647052.35,313,BB10009,1880472.9,1823305.21,57167.69,3.04,19455,NS001-832486928-684,Store,30-03-2025,C10009,Bangles,bold,Male,IND-GOLD,48.87,50.08,2,0.33,A203254
Central,BANGALORE,KDM,Bangles,2242025.75,266,BB10010,2865359.68,2786116.52,79243.16,2.77,11709,NS001-465312262-636,Store,15-04-2025,C10010,Bangles,classic,Female,TRADITIONAL,39.21,40.56,2,0.53,A164339
West,CHENNAI,Plain,Chains,1162952.39,476,BB10011,1353892.25,1308386.36,45505.89,3.36,12086,NS001-957606488-734,Store,26-03-2025,C10011,Bangles,classic,Female,PCJ-PLAIN,44.63,46.31,3,0.98,A828105
West,CHENNAI,KDM,Bangles,2478379.1,367,BB10012,2733945.39,2677225.51,56719.88,2.07,16070,NS001-426236521-612,Online,26-04-2025,C10012,Rings,bold,Female,IND-GOLD,31.28,32.72,2,0.29,A915282
Central,DELHI,Plain,Chains,2480159.54,281,BB10013,2762705.17,2669136.52,93568.65,3.39,19585,NS001-889780851-567,Store,27-03-2025,C10013,Bangles,classic,Female,TRADITIONAL,29.33,30.61,3,1.12,A775779
South,CHENNAI,CZ,Rings,1269291.99,221,BB10014,1589629.17,1566431.48,23197.69,1.46,11874,NS001-187762708-595,Store,01-04-2025,C10014,Bangles,bold,Female,TRADITIONAL,34.4,35.7,1,0.18,A667040
West,CHENNAI,KDM,Rings,1296871.31,368,BB10015,1671208.3,1636967.5,34240.8,2.05,13992,NS001-600170199-769,Online,04-04-2025,C10015,Rings,classic,Male,MODERN,14.49,15.88,3,0.87,A722989
Central,CHENNAI,Plain,Chains,1671151.98,157,BB10016,2113305.9,2073051.48,40254.42,1.9,12325,NS001-758100783-304,Online,03-03-2025,C10016,Rings,xyz,Male,TRADITIONAL,44.88,46.44,3,1.26,A185209
West,MUMBAI,KDM,Rings,2237724.41,340,BB10017,2711045.66,2604889.49,106156.17,3.92,12820,NS001-342919234-187,Store,11-04-2025,C10017,Bracelets,classic,Male,IND-GOLD,29.42,31.01,3,1.09,A617922
